phase,char,stroke_pixels
trial,あ,10077
trial,い,5463
trial,ん,6585
trial,が,8712
trial,ぱ,10474
trial,ゐ,10118
full,あ,10077
full,い,5463
full,う,5459
full,え,6891
full,お,9253
full,か,7938
full,き,7997
full,く,4433
full,け,7032
full,こ,4666
full,さ,6465
full,し,4902
full,す,7531
full,せ,8161
full,そ,7450
full,た,7380
full,ち,7550
full,つ,5287
full,て,5365
full,と,5959
full,な,8289
full,に,6145
full,ぬ,10715
full,ね,9726
full,の,8757
full,は,9297
full,ひ,7548
full,ふ,6346
full,へ,4465
full,ほ,10411
full,ま,9507
full,み,8769
full,む,8522
full,め,9647
full,も,7824
full,や,7331
full,ゆ,9303
full,よ,6786
full,ら,6171
full,り,5559
full,る,8707
full,れ,8391
full,ろ,6984
full,わ,8283
full,を,8928
full,ん,6585
full,が,8712
full,ぎ,8662
full,ぐ,5420
full,げ,7888
full,ご,5352
full,ざ,7282
full,じ,5868
full,ず,8326
full,ぜ,8870
full,ぞ,8187
full,だ,8151
full,ぢ,8028
full,づ,6170
full,で,6273
full,ど,6724
full,ば,10213
full,び,8075
full,ぶ,7264
full,べ,5401
full,ぼ,10814
full,ぱ,10474
full,ぴ,8320
full,ぷ,7484
full,ぺ,5613
full,ぽ,11147
full,ぁ,7407
full,ぃ,4103
full,ぅ,4115
full,ぇ,5285
full,ぉ,6965
full,っ,4023
full,ゃ,5665
full,ゅ,7039
full,ょ,5078
full,ゎ,6322
full,ゐ,10118
full,ゑ,10474
full,ゔ,6333
