phase,char,stroke_pixels
trial,あ,7883
trial,い,3690
trial,ん,4930
trial,が,7481
trial,ぱ,8809
trial,ゐ,7931
full,あ,7883
full,い,3690
full,う,4428
full,え,5935
full,お,7164
full,か,6657
full,き,6382
full,く,3384
full,け,6387
full,こ,3473
full,さ,4973
full,し,3752
full,す,5880
full,せ,7161
full,そ,6041
full,た,5677
full,ち,5550
full,つ,3838
full,て,4627
full,と,4829
full,な,6837
full,に,4896
full,ぬ,8688
full,ね,8315
full,の,6679
full,は,7852
full,ひ,6298
full,ふ,5023
full,へ,3445
full,ほ,8327
full,ま,7190
full,み,7114
full,む,7162
full,め,7995
full,も,6247
full,や,6130
full,ゆ,7738
full,よ,5579
full,ら,5060
full,り,4505
full,る,6773
full,れ,7280
full,ろ,5456
full,わ,7019
full,を,6774
full,ん,4930
full,が,7481
full,ぎ,7222
full,ぐ,4209
full,げ,7212
full,ご,4302
full,ざ,5841
full,じ,4600
full,ず,6719
full,ぜ,7986
full,ぞ,6878
full,だ,6517
full,ぢ,6296
full,づ,4686
full,で,5443
full,ど,5679
full,ば,8689
full,び,7045
full,ぶ,5868
full,べ,4247
full,ぼ,8994
full,ぱ,8809
full,ぴ,7158
full,ぷ,5966
full,ぺ,4396
full,ぽ,9127
full,ぁ,5999
full,ぃ,2843
full,ぅ,3372
full,ぇ,4612
full,ぉ,5479
full,っ,2956
full,ゃ,4786
full,ゅ,6061
full,ょ,4270
full,ゎ,5372
full,ゐ,7931
full,ゑ,8101
full,ゔ,5306
