phase,char,stroke_pixels
trial,あ,9754
trial,い,5313
trial,ん,5444
trial,が,8376
trial,ぱ,10182
trial,ゐ,9241
full,あ,9754
full,い,5313
full,う,5504
full,え,6828
full,お,8684
full,か,7719
full,き,8534
full,く,4020
full,け,6575
full,こ,4538
full,さ,7016
full,し,4521
full,す,7238
full,せ,7683
full,そ,7259
full,た,6900
full,ち,7000
full,つ,5298
full,て,5624
full,と,5503
full,な,8466
full,に,5892
full,ぬ,10545
full,ね,9187
full,の,7966
full,は,8557
full,ひ,7058
full,ふ,6870
full,へ,3727
full,ほ,9751
full,ま,8651
full,み,8543
full,む,8196
full,め,9406
full,も,7392
full,や,7290
full,ゆ,9096
full,よ,6632
full,ら,6302
full,り,6281
full,る,8877
full,れ,7848
full,ろ,7137
full,わ,7803
full,を,8429
full,ん,5444
full,が,8376
full,ぎ,9100
full,ぐ,5256
full,げ,7220
full,ご,5566
full,ざ,7886
full,じ,5735
full,ず,8288
full,ぜ,8741
full,ぞ,7983
full,だ,7719
full,ぢ,7861
full,づ,6137
full,で,6708
full,ど,6554
full,ば,9549
full,び,7883
full,ぶ,7773
full,べ,4949
full,ぼ,10272
full,ぱ,10182
full,ぴ,8329
full,ぷ,8070
full,ぺ,5366
full,ぽ,10671
full,ぁ,7246
full,ぃ,4043
full,ぅ,4120
full,ぇ,4992
full,ぉ,6546
full,っ,3960
full,ゃ,5504
full,ゅ,6691
full,ょ,4880
full,ゎ,5830
full,ゐ,9241
full,ゑ,10852
full,ゔ,6422
