phase,char,stroke_pixels
trial,あ,4245
trial,い,1788
trial,ん,2303
trial,が,3251
trial,ぱ,4217
trial,ゐ,3884
full,あ,4245
full,い,1788
full,う,2010
full,え,2571
full,お,3516
full,か,2859
full,き,3089
full,く,1408
full,け,2645
full,こ,1548
full,さ,2440
full,し,1621
full,す,2779
full,せ,2986
full,そ,2651
full,た,2561
full,ち,2896
full,つ,1923
full,て,2065
full,と,2049
full,な,3180
full,に,2327
full,ぬ,4194
full,ね,3903
full,の,3093
full,は,3559
full,ひ,2819
full,ふ,2080
full,へ,1399
full,ほ,3917
full,ま,3581
full,み,3253
full,む,3055
full,め,3711
full,も,2939
full,や,2718
full,ゆ,3487
full,よ,2603
full,ら,2434
full,り,2397
full,る,3243
full,れ,3146
full,ろ,2686
full,わ,3116
full,を,3429
full,ん,2303
full,が,3251
full,ぎ,3509
full,ぐ,1821
full,げ,3021
full,ご,1916
full,ざ,2839
full,じ,2068
full,ず,3209
full,ぜ,3371
full,ぞ,3010
full,だ,2963
full,ぢ,3306
full,づ,2311
full,で,2467
full,ど,2411
full,ば,3971
full,び,3202
full,ぶ,2469
full,べ,1850
full,ぼ,4264
full,ぱ,4217
full,ぴ,3463
full,ぷ,2765
full,ぺ,2152
full,ぽ,4550
full,ぁ,3498
full,ぃ,1561
full,ぅ,1690
full,ぇ,2106
full,ぉ,2809
full,っ,1543
full,ゃ,2153
full,ゅ,2916
full,ょ,2020
full,ゎ,2493
full,ゐ,3884
full,ゑ,4364
full,ゔ,2407
