phase,char,stroke_pixels
trial,あ,5435
trial,い,2491
trial,ん,3366
trial,が,5045
trial,ぱ,5894
trial,ゐ,5168
full,あ,5435
full,い,2491
full,う,2875
full,え,3788
full,お,5186
full,か,4450
full,き,4873
full,く,1990
full,け,4161
full,こ,2482
full,さ,4110
full,し,2425
full,す,3911
full,せ,4583
full,そ,3967
full,た,3996
full,ち,4054
full,つ,2855
full,て,3038
full,と,3122
full,な,4785
full,に,3642
full,ぬ,5785
full,ね,5465
full,の,4275
full,は,5207
full,ひ,3993
full,ふ,3672
full,へ,2096
full,ほ,5533
full,ま,4969
full,み,4634
full,む,5127
full,め,5208
full,も,4146
full,や,4355
full,ゆ,5691
full,よ,3494
full,ら,3553
full,り,3075
full,る,4121
full,れ,4767
full,ろ,3860
full,わ,4550
full,を,4873
full,ん,3366
full,が,5045
full,ぎ,5454
full,ぐ,2577
full,げ,4756
full,ご,3069
full,ざ,4694
full,じ,3095
full,ず,4457
full,ぜ,5191
full,ぞ,4554
full,だ,4615
full,ぢ,4656
full,づ,3447
full,で,3614
full,ど,3725
full,ば,5794
full,び,4565
full,ぶ,4293
full,べ,2765
full,ぼ,6080
full,ぱ,5894
full,ぴ,4697
full,ぷ,4318
full,ぺ,2838
full,ぽ,6148
full,ぁ,3783
full,ぃ,1784
full,ぅ,2000
full,ぇ,2703
full,ぉ,3565
full,っ,2062
full,ゃ,2987
full,ゅ,4049
full,ょ,2528
full,ゎ,3145
full,ゐ,5168
full,ゑ,5005
full,ゔ,3476
